name, url, addr, phone
Banner - University Medicine Outpatient Therapy,https://www.yelp.com/biz/banner-university-medicine-outpatient-therapy-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,755 E McDowell Rd Phoenix AZ 86006 ,(602) 521-3060,
Arcadia Health and Wellness Chiropractic,https://www.yelp.com/biz/arcadia-health-and-wellness-chiropractic-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3520 E Indian School Rd Ste C Phoenix AZ 85018 ,(602) 954-9444,
Select Physical Therapy,https://www.yelp.com/biz/select-physical-therapy-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2942 N 7th Ave Ste 101 Phoenix AZ 85013 ,(602) 277-0084,
Physiotherapy Associates,https://www.yelp.com/biz/physiotherapy-associates-phoenix-7?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,1661 East Camelback Rd Ste 152 Phoenix AZ 85016 ,(602) 955-8885,
Desert Spine & Sports Physicians,https://www.yelp.com/biz/desert-spine-and-sports-physicians-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3700 N 24th St Ste 210 Phoenix AZ 85018 ,(602) 840-0681,
One Accord Physical Therapy,https://www.yelp.com/biz/one-accord-physical-therapy-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2020 N Central Ave Ste L100 Phoenix AZ 85004 ,(855) 331-7522,
STI Physical Therapy & Rehabilitation,https://www.yelp.com/biz/sti-physical-therapy-and-rehabilitation-phoenix-10?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,444 W Osborne Rd Ste 303 Phoenix AZ 85013 ,(602) 279-8022,
Barrow Neurosurgical Associates,https://www.yelp.com/biz/barrow-neurosurgical-associates-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3090 N 3rd Ave Phoenix AZ 85013 ,(602) 745-2930,
Head To Toe Therapy,https://www.yelp.com/biz/head-to-toe-therapy-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,5314 N 7th St Phoenix AZ 85014 ,(602) 277-5006,
Jeffrey Song Sports Therapy,https://www.yelp.com/biz/jeffrey-song-sports-therapy-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,902 E McKinley St Phoenix AZ 85006 ,(602) 463-1117,
Tri-Physical Therapy,https://www.yelp.com/biz/tri-physical-therapy-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3333 E Camelback Rd Ste 230 Phoenix AZ 85018 ,(602) 956-1233,
St Joseph's Center For Sports Medicine,https://www.yelp.com/biz/st-josephs-center-for-sports-medicine-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,114 W Thomas Rd Phoenix AZ 85013 ,(602) 406-3770,
City Health Services,https://www.yelp.com/biz/city-health-services-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,40 N Central Ave Ste 775 Phoenix AZ 85004 ,(602) 889-5830,
Swan Rehab,https://www.yelp.com/biz/swan-rehab-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,1190 E Missouri Ave Ste 100 Phoenix AZ 85014 ,(602) 393-0520,
Wellsprings Therapy Center of Phoenix,https://www.yelp.com/biz/wellsprings-therapy-center-of-phoenix-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3008 N 3rd St Phoenix AZ 85012 ,(602) 313-6000,
Team Select Home Care,https://www.yelp.com/biz/team-select-home-care-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2999 N 44th St Ste 100 Phoenix AZ 85018 ,(602) 382-8500,
CHIROFIT Chiropractic & Physical Therapy,https://www.yelp.com/biz/chirofit-chiropractic-and-physical-therapy-phoenix-4?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,5062 N 19th Ave Ste 100 Phoenix AZ 85015 ,(623) 773-2000,
St. Luke's Acute Rehabilitation,https://www.yelp.com/biz/st-lukes-acute-rehabilitation-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,1800 E Van Buren St Phoenix AZ 85006 ,(602) 251-8545,
Vibrantcare Rehabilitation,https://www.yelp.com/biz/vibrantcare-rehabilitation-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,1010 E McDowell Rd Phoenix AZ 85006 ,(602) 256-7232,
Havenhealth,https://www.yelp.com/biz/havenhealth-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,4202 N 20th Ave Phoenix AZ 85015 ,(602) 264-3824,
South Mountain Post Acute,https://www.yelp.com/biz/south-mountain-post-acute-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,8008 S Jesse Owens Pkwy Phoenix AZ 85042 ,(602) 243-2780,
Spooner Physical Therapy - Phoenix,https://www.yelp.com/biz/spooner-physical-therapy-phoenix-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,5040 N 15th Ave Ste 401 Phoenix AZ 85015 ,(602) 285-0949,
Arizona Pain Relief,https://www.yelp.com/biz/arizona-pain-relief-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,5320 N 16th St Ste 107 Phoenix AZ 85016 ,(602) 234-2611,
American Premier Home Healthcare,https://www.yelp.com/biz/american-premier-home-healthcare-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,4745 N 7th St Ste 240 Phoenix AZ 85014 ,(602) 287-0003,
Arizona Home Health,https://www.yelp.com/biz/arizona-home-health-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,14631 N Cave Creek Rd Ste 104 Phoenix AZ 85022 ,(602) 923-0111,
Hansen Chiropractic,https://www.yelp.com/biz/hansen-chiropractic-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3220 E Baseline Rd Ste 112 Phoenix AZ 85042 ,(602) 437-2225,
Balance Within,https://www.yelp.com/biz/balance-within-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3225 N Central Ave Urban Yoga Phoenix AZ 85012 ,(602) 321-2991,
CHIROFIT Chiropractic & Physical Therapy,https://www.yelp.com/biz/chirofit-chiropractic-and-physical-therapy-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,695 W Baseline Rd Phoenix AZ 85041 ,(623) 773-2000,
Spectrum Therapeutic Massage,https://www.yelp.com/biz/spectrum-therapeutic-massage-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3615 N 8th Ave Phoenix AZ 85013 ,(602) 999-9709,
Desert Hand Therapy,https://www.yelp.com/biz/desert-hand-therapy-phoenix-7?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,300 W Clarendon Ave Ste 285 Phoenix AZ 85013 ,(602) 277-3686,
Canton Pediatrics,https://www.yelp.com/biz/canton-pediatrics-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,303 E Baseline Rd Phoenix AZ 85042 ,(602) 232-2737,
The Joint Chiropractic,https://www.yelp.com/biz/the-joint-chiropractic-phoenix-13?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,538 W Mcdowell Rd Phoenix AZ 85003 ,(602) 714-7664,
Fiesta Pediatric Therapy,https://www.yelp.com/biz/fiesta-pediatric-therapy-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2302 N 15th Ave Phoenix AZ 85007 ,(602) 265-4124,
BackFit Health + Spine,https://www.yelp.com/biz/backfit-health-spine-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2824 E Indian School Rd Ste 5 Phoenix AZ 85016 ,(602) 888-0665,
Baseline Chiropractic,https://www.yelp.com/biz/baseline-chiropractic-phoenix-5?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,303 E Baseline Rd Ste 101 Phoenix AZ 85042 ,(480) 966-1818,
Dr Ben Bocchicchio,https://www.yelp.com/biz/dr-ben-bocchicchio-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2394 E Camelback Rd Ste 120 Phoenix AZ 85016 ,,
The Joint Chiropractic,https://www.yelp.com/biz/the-joint-chiropractic-phoenix-5?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2340 E Baseline Rd Ste 170 Phoenix AZ 85042 ,(602) 889-5060,
Relaxation4All,https://www.yelp.com/biz/relaxation4all-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,5320 N 16th St Ste 209 Phoenix AZ 85016 ,(602) 418-2372,
Mind & Body Energetics,https://www.yelp.com/biz/mind-and-body-energetics-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2394 E Camelback Ste 120 Phoenix AZ 85016 ,(480) 788-1180,
Shell Chiropractic,https://www.yelp.com/biz/shell-chiropractic-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,114 W Adams St Ste 105 Phoenix AZ 85003 ,(602) 254-0177,
